,id,minute,possession_team,play_pattern,team,player,shot_end_location,position,location,duration,shot_one_on_one,shot_outcome,shot_type,match_id,under_pressure
137610,03cc337e-c282-4221-8162-3252db4e20d7,27,Barcelona,Regular Play,Barcelona,Neymar da Silva Santos Junior,"[120.0, 37.2, 0.8]",Left Wing,"[107.5, 34.7]",0.5438,,Goal,Open Play,265963,
137611,941737cd-fd11-48da-97a4-535f9c70756d,29,Barcelona,Regular Play,Barcelona,Xavier Hernández Creus,"[120.0, 43.5, 2.0]",Left Center Midfield,"[97.9, 26.7]",1.1812,,Goal,Open Play,265963,
137612,6b3baff2-d948-4e5c-9843-814ad05cd5dd,35,Barcelona,Regular Play,Barcelona,Sergio Busquets i Burgos,"[94.3, 37.7]",Center Defensive Midfield,"[92.7, 37.6]",0.139801,,Blocked,Open Play,265963,
137613,2def3964-9b5b-4d7b-9bef-b4a5f06b1d72,39,Barcelona,Regular Play,Barcelona,Luis Alberto Suárez Díaz,"[120.0, 43.5, 1.1]",Center Forward,"[102.1, 26.5]",0.983631,,Goal,Open Play,265963,
137614,084304f8-66b9-4f64-a8b8-5e13036ef916,42,Barcelona,Regular Play,Barcelona,Adriano Correia Claro,"[120.0, 46.5, 0.0]",Left Back,"[112.5, 29.1]",1.005896,,Off T,Open Play,265963,
137615,c9b5b63b-c17b-4e81-af5f-e72386d2e655,46,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 37.7, 2.4]",Right Wing,"[108.5, 54.0]",1.0893,,Goal,Open Play,265963,
137616,21f78902-f5be-490a-a985-7b9e53eac31f,55,Getafe,From Corner,Getafe,Iván López Álvarez,"[120.0, 29.5, 3.1]",Center Forward,"[104.6, 39.9]",0.775585,,Off T,Open Play,265963,
137617,7f5a5da6-ae31-44a4-9d1f-d71248a86257,65,Barcelona,Regular Play,Barcelona,Neymar da Silva Santos Junior,"[113.9, 31.1]",Left Wing,"[112.5, 29.8]",0.0926,,Blocked,Open Play,265963,
137618,17f9a1ed-fe13-489e-99f4-93cfd6265884,65,Barcelona,Regular Play,Barcelona,Luis Alberto Suárez Díaz,"[119.9, 42.6, 3.4]",Center Forward,"[112.5, 46.9]",0.6066,,Off T,Open Play,265963,
137619,14228ec7-2b04-4d19-90fe-f747c7e3051b,69,Barcelona,Regular Play,Barcelona,Luis Alberto Suárez Díaz,"[115.8, 40.1, 0.5]",Center Forward,"[95.9, 30.3]",0.66294,,Saved,Open Play,265963,
137620,37f4aecd-c66f-4f2b-a80a-16e3c8f37fbc,70,Getafe,From Keeper,Getafe,Fredy Hinestroza Arias,"[120.0, 44.0, 0.2]",Center Attacking Midfield,"[112.0, 31.9]",2.269,,Post,Open Play,265963,
137621,07ba6398-a293-4bbc-85cd-3b756a36bb9b,71,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[119.1, 35.8, 0.2]",Right Wing,"[116.0, 29.5]",0.3155,True,Saved,Open Play,265963,True
137622,a3753111-0c22-4238-9bd7-b919234c39d7,82,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[119.3, 36.6, 1.2]",Right Wing,"[97.2, 34.7]",1.124,,Saved,Free Kick,265963,
137623,099b0625-fc91-4e31-a9b6-8aaa9753098b,83,Barcelona,From Corner,Barcelona,Marc Bartra Aregall,"[119.5, 38.4, 0.3]",Right Center Back,"[108.5, 43.3]",0.908678,,Saved,Open Play,265963,
137624,2761cdc4-9224-43bc-8875-c94cfe1f826d,83,Getafe,Regular Play,Getafe,Sergio Escudero Palomo,"[119.9, 27.4, 3.5]",Right Wing,"[73.5, 24.2]",2.194648,,Off T,Open Play,265963,
137625,0ee06053-64c2-4811-9f43-69c1082ccf88,6,Granada,From Free Kick,Granada,Youssef El-Arabi,"[113.2, 33.2]",Left Center Forward,"[112.6, 32.6]",0.0716,,Blocked,Open Play,266117,
137626,6f679814-7455-4989-80ab-75359a5d6457,6,Granada,From Free Kick,Granada,Youssef El-Arabi,"[120.0, 42.6, 2.7]",Left Center Forward,"[113.5, 32.5]",0.9188,,Post,Open Play,266117,
137627,8ad325e4-38fe-4e56-a87f-db6dd5b0fabe,9,Barcelona,From Corner,Barcelona,Munir El Haddadi Mohamed,"[118.4, 37.5]",Right Wing,"[117.3, 44.5]",0.041072,,Wayward,Open Play,266117,
137628,ef13d424-5fe7-432c-88dd-75036481c09e,13,Barcelona,From Throw In,Barcelona,Neymar da Silva Santos Junior,"[120.0, 24.2, 0.9]",Left Wing,"[114.0, 34.3]",0.992964,,Off T,Open Play,266117,True
137629,e65cf748-ecfb-4819-8488-0b2a5d3bdb45,14,Barcelona,Regular Play,Barcelona,Neymar da Silva Santos Junior,"[109.0, 33.7]",Left Wing,"[106.6, 33.0]",0.212,,Blocked,Open Play,266117,
137630,5e045853-4cf7-4187-8955-b2e07accd556,15,Barcelona,Regular Play,Barcelona,Munir El Haddadi Mohamed,"[120.0, 45.7, 0.5]",Right Wing,"[105.6, 51.1]",1.009813,,Off T,Open Play,266117,
137631,56d91ee8-6f30-4fa1-a8be-346f3f5b6aa5,17,Granada,From Throw In,Granada,Youssef El-Arabi,"[120.0, 41.5, 4.2]",Left Center Forward,"[100.8, 60.1]",1.166,,Off T,Open Play,266117,
137632,1b1ba8e1-83e5-4029-92b5-9f441389610c,21,Granada,Regular Play,Granada,Javier Márquez Moreno,"[120.0, 33.7, 3.5]",Left Midfield,"[57.2, 34.0]",2.816,,Off T,Open Play,266117,
137633,b5d4b3a4-6ff4-41b0-b801-a78eb8b83912,22,Barcelona,From Throw In,Barcelona,Xavier Hernández Creus,"[119.4, 38.0, 1.6]",Right Center Midfield,"[90.9, 33.2]",0.898829,,Saved,Open Play,266117,
137634,fc8f0065-1458-459a-898c-e63ff62f3e22,25,Granada,From Free Kick,Barcelona,Neymar da Silva Santos Junior,"[120.0, 37.5, 1.2]",Left Wing,"[102.9, 36.5]",0.2111,,Goal,Open Play,266117,
